행정시,가맹점명,전화번호,주소,데이터기준일자
제주시,사랑김밥,064-702-3253,제주특별자치도 제주시 수덕9길 35,2022-03-31
제주시,간이역법원점,064-702-3254,제주특별자치도 제주시 남광북3길 30,2022-03-31
제주시,영자포차,064-702-3259,제주특별자치도 제주시 고마로17길 11,2022-03-31
제주시,야시장,064-702-3271,제주특별자치도 제주시 신산로 37,2022-03-31
제주시,아라캐슬웨딩홀,064-702-3339,제주특별자치도 제주시 중앙로 504,2022-03-31
제주시,주안청식당,064-702-3355,제주특별자치도 제주시 제주대학로 105-1,2022-03-31
제주시,뽕이네각재기2호점오라,064-702-3388,제주특별자치도 제주시 공설로 49,2022-03-31
제주시,삼겹구이,064-702-3392,제주특별자치도 제주시 서광로 225,2022-03-31
제주시,국수천하,064-702-3395,제주특별자치도 제주시 서사로 174,2022-03-31
제주시,제돌이팡동문시장점,064-702-3400,제주특별자치도 제주시 관덕로 64,2022-03-31
제주시,재혁이네국수,064-702-3456,제주특별자치도 제주시 구남로 24,2022-03-31
제주시,진일마트,064-702-3532,제주특별자치도 제주시 아란9길 11,2022-03-31
제주시,자담치킨호프카페제주아라점,064-702-3535,제주특별자치도 제주시 아란7길 4,2022-03-31
제주시,빠샤수제닭꼬치제주점,064-702-3544,제주특별자치도 제주시 동문로 55,2022-03-31
제주시,김밥꼬순내,064-702-3545,제주특별자치도 제주시 신설로 42,2022-03-31
제주시,김밥꼬순내,064-702-3545,제주특별자치도 제주시 신설로 42,2022-03-31
제주시,탐라명가,064-702-3611,제주특별자치도 제주시 아란9길 15,2022-03-31
제주시,한라산뼈해장국,064-702-3730,제주특별자치도 제주시 서광로2길 11-24,2022-03-31
제주시,아바이순대,064-702-3747,제주특별자치도 제주시 도남로16길 17,2022-03-31
제주시,신전떡볶이인제점,064-702-3772,제주특별자치도 제주시 고마로 87,2022-03-31
제주시,신마포갈매기제주일도점,064-702-3791,제주특별자치도 제주시 고마로 99,2022-03-31
제주시,산천초목오리약선요리,064-702-3852,제주특별자치도 제주시 오복6길 8,2022-03-31
제주시,친정집,064-702-3968,제주특별자치도 제주시 일주동로 260,2022-03-31
제주시,샤오핑,064-702-4070,제주특별자치도 제주시 연신로 71,2022-03-31
제주시,미술관 제주시청점,064-702-4245,제주특별자치도 제주시 신성로13길 29,2022-03-31
제주시,버팔로식당,064-702-4273,제주특별자치도 제주시 고마로15길 5,2022-03-31
제주시,본도시락제주아라점,064-702-4282,제주특별자치도 제주시 아란5길 43,2022-03-31
제주시,남사당,064-702-4317,제주특별자치도 제주시 간월동로 26,2022-03-31
제주시,삼남매식당,064-702-4349,제주특별자치도 제주시 인다9길 18,2022-03-31
제주시,맘스터치 화북남문점,064-702-4448,제주특별자치도 제주시 일주동로 192,2022-03-31
제주시,맘스터치화북남문점,064-702-4448,제주특별자치도 제주시 일주동로 192,2022-03-31
제주시,녹색식당 원동점,064-702-4522,제주특별자치도 제주시 애월읍 애원로 917,2022-03-31
제주시,학교종이땡땡땡,064-702-4532,제주특별자치도 제주시 산천단동1길 20,2022-03-31
제주시,어쇼일식,064-702-4567,제주특별자치도 제주시 도남동 730-1,2022-03-31
제주시,고보배국밥,064-702-4590,제주특별자치도 제주시 남광북3길 24,2022-03-31
제주시,개인생활,064-702-4600,제주특별자치도 제주시 천수로6길 3,2022-03-31
제주시,춤추는분식,064-702-4674,제주특별자치도 제주시 서광로29길 8,2022-03-31
제주시,24시서울뼈감탕해장국,064-702-4689,제주특별자치도 제주시 신성로 96,2022-03-31
제주시,대한축산유통 축산물 할인매장,064-702-4866,제주특별자치도 제주시 용담로 97,2022-03-31
제주시,미듬축산유통,064-702-4990,제주특별자치도 제주시 용담이동 2076-3,2022-03-31
제주시,글로벌하우스,064-702-5006,제주특별자치도 제주시 아라일동 1,2022-03-31
제주시,글로벌하우스,064-702-5009,제주특별자치도 제주시 아라일동 1,2022-03-31
제주시,감자바우,064-702-5055,제주특별자치도 제주시 중앙로7길 25,2022-03-31
제주시,난타오천법원점,064-702-5091,제주특별자치도 제주시 남광로 8,2022-03-31
제주시,끌돈,064-702-5252,제주특별자치도 제주시 중앙로 396-1,2022-03-31
제주시,볼빨간아구찜,064-702-5255,제주특별자치도 제주시 광양4길 12,2022-03-31
제주시,수익소머리국밥본점,064-702-5255,제주특별자치도 제주시 광양4길 12,2022-03-31
제주시,아라돼지인제점,064-702-5285,제주특별자치도 제주시 고마로 56,2022-03-31
제주시,추자섬바당,064-702-5292,제주특별자치도 제주시 구남동8길 29,2022-03-31
제주시,상록마트,064-702-5535,제주특별자치도 제주시 아봉로 327,2022-03-31
제주시,굽네치킨 영평점,064-702-5555,제주특별자치도 제주시 기와4길 14-3,2022-03-31
제주시,보해정육식당,064-702-5566,제주특별자치도 제주시 서문로6길 4-9,2022-03-31
제주시,모녀국수,064-702-5566,제주특별자치도 제주시 오복4길 6,2022-03-31
제주시,던킨제주삼화점,064-702-5584,제주특별자치도 제주시 건주로4길 6-4,2022-03-31
제주시,정든마을,064-702-5585,제주특별자치도 제주시 정든로 20-8,2022-03-31
제주시,탐라국꾼시청점,064-702-5634,제주특별자치도 제주시 동광로6길 14,2022-03-31
제주시,화북송가네감자탕,064-702-5666,제주특별자치도 제주시 진동로3길 25,2022-03-31
제주시,농업회사법인 우람(주),064-702-5700,제주특별자치도 제주시 도련2길 5,2022-03-31
제주시,제주하림유통,064-702-5733,제주특별자치도 제주시 산천단남길 36,2022-03-31
제주시,뚱아저씨화덕피자3호점,064-702-5771,제주특별자치도 제주시 삼양일동 1542-23,2022-03-31
제주시,제주왕족보,064-702-5800,제주특별자치도 제주시 중앙로24길 26,2022-03-31
제주시,행복만족,064-702-5882,제주특별자치도 제주시 청귤로3길 46,2022-03-31
제주시,이도아구찜,064-702-5950,제주특별자치도 제주시 남광북1길 31-1,2022-03-31
제주시,김밥천국제주대학점,064-702-6009,제주특별자치도 제주시 제주대학로 103-1,2022-03-31
제주시,메이회전초밥,064-702-6060,제주특별자치도 제주시 건주로6길 50,2022-03-31
제주시,터미널매점,064-702-6068,제주특별자치도 제주시 오라일동 2441,2022-03-31
제주시,황궁만리장성,064-702-6090,제주특별자치도 제주시 아라일동 7-24,2022-03-31
제주시,미녀,064-702-6233,제주특별자치도 제주시 만덕로4길 3,2022-03-31
제주시,대패명가,064-702-6234,제주특별자치도 제주시 연수로5길 20,2022-03-31
제주시,본죽일도점,064-702-6288,제주특별자치도 제주시 고마로 101,2022-03-31
제주시,만남의횟집상봉식당,064-702-6313,제주특별자치도 제주시 설촌로12길 24,2022-03-31
제주시,용우동중앙점,064-702-6362,제주특별자치도 제주시 중앙로 60,2022-03-31
제주시,돈사무소,064-702-6369,제주특별자치도 제주시 구남로 44,2022-03-31
제주시,멍텅구리24시,064-702-6466,제주특별자치도 제주시 도남로 31-1,2022-03-31
제주시,태진해장국,064-702-6500,제주특별자치도 제주시 구산로 49,2022-03-31
제주시,심이네,064-702-6610,제주특별자치도 제주시 동문로 19-1,2022-03-31
제주시,넉넉한밥상,064-702-6660,제주특별자치도 제주시 인다5길 12-21,2022-03-31
제주시,갓식빵삼도점,064-702-6773,제주특별자치도 제주시 서사로 90,2022-03-31
제주시,면앤돈전문점,064-702-6888,제주특별자치도 제주시 도령북길 41,2022-03-31
제주시,주식회사 돈돈제주유통,064-702-6999,제주특별자치도 제주시 진남로 17,2022-03-31
제주시,창영(왕족발),064-702-7008,제주특별자치도 제주시 태성로3길 12,2022-03-31
제주시,이디올래/동네음악협동조합,064-702-7023,제주특별자치도 제주시 중앙로 192,2022-03-31
제주시,바비킴,064-702-7028,제주특별자치도 제주시 신산로9길 53,2022-03-31
제주시,제주고기국수만세국수,064-702-7056,제주특별자치도 제주시 오라로 152,2022-03-31
제주시,북경루,064-702-7101,제주특별자치도 제주시 서사로 35,2022-03-31
제주시,맛뜨락,064-702-7133,제주특별자치도 제주시 구남동2길 19-2,2022-03-31
제주시,꼬꼬반점,064-702-7178,제주특별자치도 제주시 광양7길 32,2022-03-31
제주시,옹달샘,064-702-7333,제주특별자치도 제주시 중앙로 102,2022-03-31
제주시,던킨도너츠제주시청/비알코리아(주)던킨도,064-702-7600,제주특별자치도 제주시 중앙로 216,2022-03-31
제주시,청춘당찹쌀꽈배기봉개점,064-702-7676,제주특별자치도 제주시 번영로 356,2022-03-31
제주시,푸드백화점,064-702-7709,제주특별자치도 제주시 남성로 132,2022-03-31
제주시,삼시세끼,064-702-7727,제주특별자치도 제주시 선반남1길 72,2022-03-31
제주시,홍어대가,064-702-7783,제주특별자치도 제주시 전농로 99-1,2022-03-31
제주시,현진푸드,064-702-7790,제주특별자치도 제주시 동화로1길 49-12,2022-03-31
제주시,정부장포차,064-702-7792,제주특별자치도 제주시 연삼로 336,2022-03-31
제주시,배떡아라점,064-702-7799,제주특별자치도 제주시 중앙로 504,2022-03-31
제주시,바르다김선생 삼화점,064-702-7848,제주특별자치도 제주시 건주로 37,2022-03-31
제주시,한두기식당,064-702-7878,제주특별자치도 제주시 동한두기길 25,2022-03-31
제주시,제주정낭집일도점,064-702-7907,제주특별자치도 제주시 연수로3길 5,2022-03-31
제주시,낙지육회제주탕탕이,064-702-7976,제주특별자치도 제주시 진남로6길 38-1,2022-03-31
제주시,모이자,064-702-8181,제주특별자치도 제주시 신성로 37,2022-03-31
제주시,현지통아귀찜,064-702-8203,제주특별자치도 제주시 설촌로 12,2022-03-31
제주시,모녀떡집,064-702-8230,제주특별자치도 제주시 중앙로13길 35-1,2022-03-31
제주시,마중물,064-702-8250,제주특별자치도 제주시 서사로 62-3,2022-03-31
제주시,장가네일품순두부제주시청점,064-702-8253,제주특별자치도 제주시 광양13길 9-1,2022-03-31
제주시,주식회사 짱죽 제주점,064-702-8286,제주특별자치도 제주시 연북로 514,2022-03-31
제주시,억조음식점,064-702-8289,제주특별자치도 제주시 애월읍 장전로 24,2022-03-31
제주시,억조보양탕삼계탕,064-702-8289,제주특별자치도 제주시 우령서로 75,2022-03-31
제주시,닥앤돈스칠성점,064-702-8295,제주특별자치도 제주시 탑동로15길 28,2022-03-31
제주시,아라오리,064-702-8354,제주특별자치도 제주시 516로 3155-30,2022-03-31
제주시,비비큐치킨터미널점,064-702-8386,제주특별자치도 제주시 서광로 174,2022-03-31
제주시,요기,064-702-8433,제주특별자치도 제주시 전농로 3,2022-03-31
제주시,훈식당,064-702-8448,제주특별자치도 제주시 한천로 75,2022-03-31
제주시,제주한마음해장국,064-702-8475,제주특별자치도 제주시 연신로 51,2022-03-31
제주시,제주시농협아라지소,064-702-8500,제주특별자치도 제주시 아란8길 2,2022-03-31
제주시,백가네,064-702-8777,제주특별자치도 제주시 동광로6길 9,2022-03-31
제주시,이가네일품해장국이도점,064-702-8809,제주특별자치도 제주시 신설로9길 40,2022-03-31
제주시,싱싱회센타,064-702-8838,제주특별자치도 제주시 동문로4길 9,2022-03-31
제주시,고을면,064-702-8853,제주특별자치도 제주시 정든로 62-3,2022-03-31
제주시,빠사시앤멕시카나치킨제대점,064-702-8865,제주특별자치도 제주시 산천단동3길 29,2022-03-31
제주시,해오름왕만두,064-702-8875,제주특별자치도 제주시 동문로 53,2022-03-31
제주시,뽕갈찜,064-702-8883,제주특별자치도 제주시 인다9길 34,2022-03-31
제주시,제주밥보장터,064-702-8886,제주특별자치도 제주시 남광북1길 31-1,2022-03-31
제주시,제주맛집,064-702-8887,제주특별자치도 제주시 인다9길 34,2022-03-31
제주시,땅땅치킨이도초점,064-702-8892,제주특별자치도 제주시 구남동2길 48,2022-03-31
제주시,바다잔치,064-702-8989,제주특별자치도 제주시 탑동로 79,2022-03-31
제주시,피슈마라홍탕삼양점,064-702-8999,제주특별자치도 제주시 건주로4길 30,2022-03-31
제주시,영평가시나물마을회,064-702-9040,제주특별자치도 제주시 516로 2810-31,2022-03-31
제주시,한국물류센타베스트마트점,064-702-9080,제주특별자치도 제주시 노형동 2513-1,2022-03-31
제주시,탁이네포차,064-702-9151,제주특별자치도 제주시 서사로 103,2022-03-31
제주시,웰덤치킨,064-702-9199,제주특별자치도 제주시 중앙로13길 29,2022-03-31
제주시,불닭공장이도점,064-702-9204,제주특별자치도 제주시 승천로 83,2022-03-31
제주시,토닥토닥,064-702-9219,제주특별자치도 제주시 관덕로15길 7,2022-03-31
제주시,옹포쌀국수,064-702-9233,제주특별자치도 제주시 서문로 70-1,2022-03-31
제주시,시청그때그집,064-702-9244,제주특별자치도 제주시 동광로1길 11,2022-03-31
제주시,구우니,064-702-9245,제주특별자치도 제주시 광양13길 18,2022-03-31
제주시,맥시카나치킨화북점,064-702-9256,제주특별자치도 제주시 동화로 3,2022-03-31
제주시,홍익돈까스 제주점,064-702-9275,제주특별자치도 제주시 중앙로 501,2022-03-31
제주시,뒷돈본점,064-702-9290,제주특별자치도 제주시 신설로2길 5-7,2022-03-31
제주시,이춘봉치킨제주1호점,064-702-9292,제주특별자치도 제주시 서사로17길 25,2022-03-31
제주시,굽네치킨아라점,064-702-9294,제주특별자치도 제주시 중앙로 578,2022-03-31
제주시,밥먹다,064-702-9295,제주특별자치도 제주시 연삼로 346,2022-03-31
제주시,먹우돈,064-702-9299,제주특별자치도 제주시 일주동로 222,2022-03-31
제주시,본가고가네돈까스,064-702-9582,제주특별자치도 제주시 정든로2길 13,2022-03-31
제주시,백가네상차림,064-702-9592,제주특별자치도 제주시 구남동2길 38,2022-03-31
제주시,서흘포가든서사라점,064-702-9797,제주특별자치도 제주시 서사로 175,2022-03-31
제주시,미쁨김밥,064-702-9865,제주특별자치도 제주시 삼봉로 113-2,2022-03-31
제주시,꾸로부타,064-702-9870,제주특별자치도 제주시 복지로북길 21,2022-03-31
제주시,제주에오면,064-702-9882,제주특별자치도 제주시 삼성로 114,2022-03-31
제주시,설농옥,064-702-9903,제주특별자치도 제주시 관덕로8길 15,2022-03-31
제주시,대굴대굴굴구이,064-702-9929,제주특별자치도 제주시 오복2길 17,2022-03-31
제주시,맘스터치 일도동문점,064-702-9933,제주특별자치도 제주시 동문로 55,2022-03-31
제주시,맘스터치-일도동문점,064-702-9933,제주특별자치도 제주시 동문로 55,2022-03-31
제주시,페리카나아라점,064-702-9978,제주특별자치도 제주시 인다12길 1,2022-03-31
제주시,정희네두루치기,064-702-9999,제주특별자치도 제주시 아봉로 248-56,2022-03-31
제주시,몽상,064-709-0091,제주특별자치도 제주시 애월읍 애월리 2546,2022-03-31
제주시,더푸드하우스제주국제공항국제선점/롯데지,064-709-1070,제주특별자치도 제주시 공항로 2,2022-03-31
제주시,아르떼,064-710-1000,제주특별자치도 제주시 조천읍 곱은달남길 218,2022-03-31
제주시,제주특별자치도청구내식당,064-710-2194,제주특별자치도 제주시 문연로 6,2022-03-31
제주시,제주특별자치도민속자연사박물관,064-710-7682,제주특별자치도 제주시 삼성로 40,2022-03-31
제주시,제주주민갈비,064-711-0020,제주특별자치도 제주시 무근성길 44,2022-03-31
제주시,행복나눔베이커리노형점,064-711-0043,제주특별자치도 제주시 원노형로 46,2022-03-31
제주시,무한정,064-711-0054,제주특별자치도 제주시 우정로18길 5,2022-03-31
제주시,요기소바,064-711-0071,제주특별자치도 제주시 원노형6길 3-4,2022-03-31
제주시,복이조아복쟁이,064-711-0080,제주특별자치도 제주시 신대로 144,2022-03-31
제주시,바구니마트구내,064-711-0084,제주특별자치도 제주시 일주서로 7634,2022-03-31
제주시,수다뜰떡방,064-711-0087,제주특별자치도 제주시 다랑곶4길 45,2022-03-31
제주시,짱돌,064-711-0100,제주특별자치도 제주시 일주서로 7326,2022-03-31
제주시,폭풍장어외도점,064-711-0100,제주특별자치도 제주시 일주서로 7326,2022-03-31
제주시,윈드스테이,064-711-0113,제주특별자치도 제주시 테우해안로 64,2022-03-31
제주시,난놈,064-711-0125,제주특별자치도 제주시 서해안로 216,2022-03-31
제주시,명가돈까스,064-711-0204,제주특별자치도 제주시 태성로2길 30-1,2022-03-31
제주시,나라돈까스,064-711-0221,제주특별자치도 제주시 절물1길 23,2022-03-31
제주시,꽃보다소제주연동점,064-711-0235,제주특별자치도 제주시 신대로10길 18,2022-03-31
제주시,제주고기야,064-711-0238,제주특별자치도 제주시 남녕로 33,2022-03-31
제주시,따봉마라탕,064-711-0308,제주특별자치도 제주시 다랑곶2길 44,2022-03-31
제주시,가시어멍충무김밥,064-711-0316,제주특별자치도 제주시 애월읍 하귀9길 34-1,2022-03-31
제주시,교촌치킨제주지사,064-711-0331,제주특별자치도 제주시 노연로 37,2022-03-31
제주시,은혜슈퍼,064-711-0361,제주특별자치도 제주시 연동10길 19,2022-03-31
제주시,주식회사 일품순두부,064-711-0407,제주특별자치도 제주시 도령로 64,2022-03-31
제주시,용담킹마트베이커리,064-711-0435,제주특별자치도 제주시 용담일동 67-28,2022-03-31
제주시,스시해밀,064-711-0440,제주특별자치도 제주시 용담로 90,2022-03-31
제주시,돈누리,064-711-0441,제주특별자치도 제주시 진군중길 22,2022-03-31
제주시,주식회사 제주사랑축산,064-711-0480,제주특별자치도 제주시 연미2길 17,2022-03-31
제주시,제주사랑축산유통,064-711-0480,제주특별자치도 제주시 한천로 40,2022-03-31
제주시,한라구공탄,064-711-0501,제주특별자치도 제주시 수정길 10,2022-03-31
제주시,보경반점,064-711-0507,제주특별자치도 제주시 흥운길 18,2022-03-31
제주시,대박집,064-711-0508,제주특별자치도 제주시 국기로1길 15,2022-03-31
제주시,던킨도너츠제주용두암점,064-711-0545,제주특별자치도 제주시 서해안로 687-6,2022-03-31
제주시,슬로리(slowly),064-711-0549,제주특별자치도 제주시 애월읍 유수암리 1679-1 1,2022-03-31
제주시,모메존,064-711-0585,제주특별자치도 제주시 도두3길 17,2022-03-31
제주시,오규동 노형점,064-711-0590,제주특별자치도 제주시 다랑곶4길 22,2022-03-31
제주시,오규동노형점,064-711-0590,제주특별자치도 제주시 다랑곶4길 22,2022-03-31
제주시,이모네분식,064-711-0620,제주특별자치도 제주시 애월읍 하귀로 39,2022-03-31
제주시,인연밥상,064-711-0661,제주특별자치도 제주시 다호7길 28,2022-03-31
제주시,제주옹기설렁탕,064-711-0678,제주특별자치도 제주시 문송길 27,2022-03-31
제주시,슈크레,064-711-0680,제주특별자치도 제주시 용화로 52,2022-03-31
제주시,다희연포르테,064-711-0707,제주특별자치도 제주시 원노형6길 7,2022-03-31
제주시,제대김밥,064-711-0708,제주특별자치도 제주시 산천단동3길 26,2022-03-31
제주시,가마치통닭노형점,064-711-0717,제주특별자치도 제주시 원노형로 37,2022-03-31
제주시,(주)파리크라상파리바게뜨제주공항점,064-711-0741,제주특별자치도 제주시 공항로 2,2022-03-31
제주시,에스피씨(주) 제주공항점,064-711-0742,제주특별자치도 제주시 공항로 2,2022-03-31
제주시,도두올래식당,064-711-0746,제주특별자치도 제주시 도두항서길 26,2022-03-31
제주시,굽써,064-711-0792,제주특별자치도 제주시 테우해안로 138,2022-03-31
제주시,제주정지,064-711-0810,제주특별자치도 제주시 용담이동 2367-6,2022-03-31
제주시,춘흥뷔페,064-711-0844,제주특별자치도 제주시 원노형4길 15,2022-03-31
제주시,제주모다정해장국,064-711-0888,제주특별자치도 제주시 원노형6길 12,2022-03-31
제주시,오마트,064-711-0890,제주특별자치도 제주시 정존11길 68,2022-03-31
제주시,청년피자 제주외도점,064-711-0908,제주특별자치도 제주시 우정로 50,2022-03-31
제주시,더후라잉,064-711-0909,제주특별자치도 제주시 중앙로24길 20,2022-03-31
제주시,동해야,064-711-0932,제주특별자치도 제주시 흥운길 44,2022-03-31
제주시,만경강장어마을,064-711-0932,제주특별자치도 제주시 흥운길 44,2022-03-31
제주시,골체,064-711-0970,제주특별자치도 제주시 연삼로 428,2022-03-31
